Variable_1,Variable_2,Correlation,Abs_Correlation
arrival_date_week_number,arrival_date_year,-0.5405613307724417,0.5405613307724417
stays_in_week_nights,stays_in_weekend_nights,0.4989688184955315,0.4989688184955315
is_repeated_guest,previous_bookings_not_canceled,0.4180559949369085,0.4180559949369085
agent,company,0.3507457133134837,0.3507457133134837
adr,children,0.3248536049962062,0.3248536049962062
is_canceled,lead_time,0.29312335576071835,0.29312335576071835
arrival_date_year,company,0.2590953344075636,0.2590953344075636
company,is_repeated_guest,-0.24458587743907773,0.24458587743907773
is_canceled,total_of_special_requests,-0.2346577739690245,0.2346577739690245
adr,adults,0.23064121552351227,0.23064121552351227
company,previous_bookings_not_canceled,-0.20855658139907476,0.20855658139907476
adults,company,0.20779326481034283,0.20779326481034283
adr,arrival_date_year,0.197580088495447,0.197580088495447
is_canceled,required_car_parking_spaces,-0.19549781749449852,0.19549781749449852
company,previous_cancellations,-0.18457369967274853,0.18457369967274853
agent,stays_in_week_nights,0.1823824169853804,0.1823824169853804
company,stays_in_week_nights,0.18221127608782214,0.18221127608782214
agent,required_car_parking_spaces,0.1773528494963413,0.1773528494963413
adr,total_of_special_requests,0.17218526436930726,0.17218526436930726
days_in_waiting_list,lead_time,0.1700841842637818,0.1700841842637818
lead_time,stays_in_week_nights,0.16579936387933364,0.16579936387933364
previous_bookings_not_canceled,previous_cancellations,0.15272811485691068,0.15272811485691068
company,lead_time,0.15146383465209004,0.15146383465209004
adults,is_repeated_guest,-0.1464261157396283,0.1464261157396283
booking_changes,is_canceled,-0.14438099106132654,0.14438099106132654
agent,stays_in_weekend_nights,0.140739142695587,0.140739142695587
adr,is_repeated_guest,-0.13431444666341436,0.13431444666341436
arrival_date_week_number,lead_time,0.1268708127454585,0.1268708127454585
is_repeated_guest,lead_time,-0.12440990799896122,0.12440990799896122
adults,total_of_special_requests,0.12288354569972604,0.12288354569972604
booking_changes,company,0.1220976330050093,0.1220976330050093
arrival_date_year,previous_cancellations,-0.1198220704517885,0.1198220704517885
adults,lead_time,0.11951869261297535,0.11951869261297535
lead_time,required_car_parking_spaces,-0.11645057013918576,0.11645057013918576
is_canceled,previous_cancellations,0.11013280822284209,0.11013280822284209
arrival_date_year,total_of_special_requests,0.1085314863379896,0.1085314863379896
adults,previous_bookings_not_canceled,-0.10798317248275179,0.10798317248275179
company,total_of_special_requests,-0.09855790866975067,0.09855790866975067
babies,total_of_special_requests,0.09788879209575428,0.09788879209575428
is_repeated_guest,stays_in_week_nights,-0.09724497214044739,0.09724497214044739
booking_changes,stays_in_week_nights,0.09620944596835253,0.09620944596835253
lead_time,total_of_special_requests,-0.09571204885480938,0.09571204885480938
adults,stays_in_week_nights,0.09297551260391128,0.09297551260391128
adults,stays_in_weekend_nights,0.0918710201163184,0.0918710201163184
is_repeated_guest,stays_in_weekend_nights,-0.08723937875528567,0.08723937875528567
adr,company,0.08637554835792281,0.08637554835792281
lead_time,previous_cancellations,0.08604180192778886,0.08604180192778886
lead_time,stays_in_weekend_nights,0.08567113294880394,0.08567113294880394
is_canceled,is_repeated_guest,-0.08479341835709014,0.08479341835709014
babies,booking_changes,0.0834397814233238,0.0834397814233238
agent,is_canceled,-0.08311415905369723,0.08311415905369723
days_in_waiting_list,total_of_special_requests,-0.08272971877007586,0.08272971877007586
required_car_parking_spaces,total_of_special_requests,0.08262633831523661,0.08262633831523661
is_repeated_guest,previous_cancellations,0.08229323421675043,0.08229323421675043
children,total_of_special_requests,0.08174482206816508,0.08174482206816508
is_repeated_guest,required_car_parking_spaces,0.07708957299331305,0.07708957299331305
arrival_date_week_number,company,-0.07675959233291137,0.07675959233291137
adr,arrival_date_week_number,0.07579064299569262,0.07579064299569262
lead_time,previous_bookings_not_canceled,-0.07354816794373444,0.07354816794373444
stays_in_weekend_nights,total_of_special_requests,0.07267083049399105,0.07267083049399105
adr,previous_bookings_not_canceled,-0.07214419574746672,0.07214419574746672
agent,lead_time,-0.06974094187366102,0.06974094187366102
stays_in_week_nights,total_of_special_requests,0.06819178170957099,0.06819178170957099
agent,booking_changes,0.06700974742183363,0.06700974742183363
arrival_date_day_of_month,arrival_date_week_number,0.06680925298848656,0.06680925298848656
company,stays_in_weekend_nights,0.06674875445592547,0.06674875445592547
adr,previous_cancellations,-0.06564563827526634,0.06564563827526634
booking_changes,required_car_parking_spaces,0.06562019136714943,0.06562019136714943
adr,stays_in_week_nights,0.06523748026533607,0.06523748026533607
agent,arrival_date_year,0.0634574850795241,0.0634574850795241
booking_changes,stays_in_weekend_nights,0.06328131589027766,0.06328131589027766
adr,lead_time,-0.06307685251681924,0.06307685251681924
adults,is_canceled,0.06001721283955582,0.06001721283955582
is_canceled,previous_bookings_not_canceled,-0.05735772316594581,0.05735772316594581
adr,required_car_parking_spaces,0.056628091940328196,0.056628091940328196
arrival_date_year,days_in_waiting_list,-0.056496602049327,0.056496602049327
children,required_car_parking_spaces,0.05625284676889584,0.05625284676889584
agent,days_in_waiting_list,-0.05515067528961083,0.05515067528961083
arrival_date_year,children,0.05462416392304439,0.05462416392304439
days_in_waiting_list,is_canceled,0.054185824117780675,0.054185824117780675
days_in_waiting_list,stays_in_weekend_nights,-0.05415111348359235,0.05415111348359235
booking_changes,total_of_special_requests,0.052833435749307676,0.052833435749307676
adults,booking_changes,-0.05167277353143062,0.05167277353143062
adr,stays_in_weekend_nights,0.0493419060259593,0.0493419060259593
booking_changes,children,0.04894888847371924,0.04894888847371924
previous_bookings_not_canceled,stays_in_week_nights,-0.04874254953327373,0.04874254953327373
previous_cancellations,total_of_special_requests,-0.04838411840222119,0.04838411840222119
previous_bookings_not_canceled,required_car_parking_spaces,0.04765308694330182,0.04765308694330182
adr,is_canceled,0.04755659788038999,0.04755659788038999
children,stays_in_weekend_nights,0.04579293740385516,0.04579293740385516
arrival_date_day_of_month,company,0.044857547660300166,0.044857547660300166
children,stays_in_week_nights,0.044202918913249574,0.044202918913249574
previous_bookings_not_canceled,stays_in_weekend_nights,-0.04271523495025465,0.04271523495025465
agent,children,0.04106629249859216,0.04106629249859216
adr,days_in_waiting_list,-0.04075641204563355,0.04075641204563355
arrival_date_year,lead_time,0.04014209975345914,0.04014209975345914
previous_bookings_not_canceled,total_of_special_requests,0.037823775725826424,0.037823775725826424
children,lead_time,-0.03762167759160052,0.03762167759160052
babies,required_car_parking_spaces,0.037383355906134896,0.037383355906134896
agent,babies,0.036184441207188424,0.036184441207188424
adults,agent,-0.03559375271464785,0.03559375271464785
arrival_date_week_number,previous_cancellations,0.035500909120664344,0.035500909120664344
agent,total_of_special_requests,0.034161630296677944,0.034161630296677944
children,days_in_waiting_list,-0.03327261593658072,0.03327261593658072
children,is_repeated_guest,-0.03285938207278014,0.03285938207278014
babies,is_canceled,-0.032491089208332935,0.032491089208332935
agent,is_repeated_guest,0.03152725639371579,0.03152725639371579
agent,arrival_date_week_number,-0.031201433083694198,0.031201433083694198
children,company,0.030930631522452134,0.030930631522452134
arrival_date_year,stays_in_week_nights,0.030883297336403433,0.030883297336403433
arrival_date_year,booking_changes,0.0308723496062332,0.0308723496062332
days_in_waiting_list,required_car_parking_spaces,-0.03060004596195985,0.03060004596195985
adults,children,0.030446848795788364,0.030446848795788364
adr,arrival_date_day_of_month,0.030245194761960578,0.030245194761960578
arrival_date_week_number,is_repeated_guest,-0.030130758269571886,0.030130758269571886
adults,arrival_date_year,0.029635144151772524,0.029635144151772524
arrival_date_year,previous_bookings_not_canceled,0.02921805116022924,0.02921805116022924
adr,babies,0.02918569025619876,0.02918569025619876
arrival_date_day_of_month,stays_in_week_nights,-0.028173521388299715,0.028173521388299715
arrival_date_day_of_month,previous_cancellations,-0.02701077611969974,0.02701077611969974
booking_changes,previous_cancellations,-0.02699266259114278,0.02699266259114278
arrival_date_week_number,total_of_special_requests,0.026149363589958306,0.026149363589958306
