Variable_1,Variable_2,Correlation,Abs_Correlation
adults,arrival_date_week_number,0.025909057352613698,0.025909057352613698
required_car_parking_spaces,stays_in_week_nights,-0.024859422747840414,0.024859422747840414
is_canceled,stays_in_week_nights,0.024764629045870484,0.024764629045870484
children,previous_cancellations,-0.024730099330321255,0.024730099330321255
adr,agent,-0.024694802966310762,0.024694802966310762
babies,children,0.024029552389373984,0.024029552389373984
agent,previous_bookings_not_canceled,0.023252423291345053,0.023252423291345053
arrival_date_week_number,days_in_waiting_list,0.022933026652450422,0.022933026652450422
arrival_date_day_of_month,days_in_waiting_list,0.02272753516251912,0.02272753516251912
days_in_waiting_list,is_repeated_guest,-0.022234965332392435,0.022234965332392435
arrival_date_year,stays_in_weekend_nights,0.021497365446213938,0.021497365446213938
children,previous_bookings_not_canceled,-0.021072490313609357,0.021072490313609357
babies,lead_time,-0.020915016274890404,0.020915016274890404
arrival_date_week_number,previous_bookings_not_canceled,-0.020903551674042682,0.020903551674042682
company,is_canceled,-0.02064207062825715,0.02064207062825715
babies,stays_in_week_nights,0.020190974360632157,0.020190974360632157
