iter	Logloss
0	0.6570992971
1	0.6252609259
2	0.6046304803
3	0.5709237252
4	0.5439844313
5	0.5244978511
6	0.5004184066
7	0.4804920923
8	0.4644905527
9	0.4511615956
10	0.4378566531
11	0.426089286
12	0.4175625677
13	0.4084236969
14	0.397829428
15	0.3907767338
16	0.3816196278
17	0.3754266997
18	0.3679416674
19	0.3630125043
20	0.3562737839
21	0.3509031861
22	0.3452089232
23	0.3416375575
24	0.3380325673
25	0.3343364405
26	0.3311403219
27	0.3283336797
28	0.3238641082
29	0.3209269584
30	0.3178310454
31	0.3162088262
32	0.3140408892
33	0.3124044081
34	0.3100378008
35	0.3082301349
36	0.3067497322
37	0.3054567068
38	0.3036489415
39	0.3024694254
40	0.3010738986
41	0.2996578847
42	0.2986286635
43	0.2973533267
44	0.2961570969
45	0.2950364846
46	0.2938444735
47	0.2929164486
48	0.2919287446
49	0.2909012037
50	0.2897065285
51	0.2890423189
52	0.2883648049
53	0.2875887824
54	0.2867414584
55	0.2857448609
56	0.2847583647
57	0.2838941887
58	0.2832123078
59	0.282277488
60	0.2810920052
61	0.2805395304
62	0.2798758757
63	0.2792633641
64	0.2785395972
65	0.2778956447
66	0.2773563905
67	0.2765095901
68	0.2761368671
69	0.2753710225
70	0.2748242314
71	0.2742011501
72	0.273597549
73	0.2731137351
74	0.2722282332
75	0.2716700101
76	0.2713047551
77	0.2708394819
78	0.2703214803
79	0.2698690461
80	0.269395906
81	0.2690706527
82	0.2685231858
83	0.2679676141
84	0.2677931689
85	0.2673555635
86	0.2669882867
87	0.266379662
88	0.2661456758
89	0.2658176
90	0.2652820127
91	0.2649546633
92	0.2642115198
93	0.2638913357
94	0.2636691525
95	0.2633700658
96	0.2629950261
97	0.2626272879
98	0.2622594559
99	0.262059875
100	0.2617217226
101	0.2614088195
102	0.2610490568
103	0.2606690493
104	0.260388201
105	0.2601626783
106	0.2598986762
107	0.2596120632
108	0.2589776334
109	0.2586881398
110	0.2582010925
111	0.2579899404
112	0.2574854456
113	0.2570841923
114	0.2563318051
115	0.2561252277
116	0.2557471847
117	0.2554454085
118	0.2552981488
119	0.2550934977
120	0.2547590989
121	0.2544074845
122	0.2542104571
123	0.2539725771
124	0.2537224865
125	0.2535035962
126	0.2533145193
127	0.253115861
128	0.2528020378
129	0.2521808472
130	0.2518451406
131	0.2514780694
132	0.2513710702
133	0.2511355061
134	0.2506578846
135	0.2504341788
136	0.250252674
137	0.2500465375
138	0.2499375781
139	0.249619258
140	0.2495089373
141	0.2491752808
142	0.2488733204
143	0.2485694066
144	0.2484274615
145	0.2481674474
146	0.2478790265
147	0.2476331829
148	0.2472995284
149	0.2471063361
150	0.2468798543
151	0.2466723365
152	0.2464837572
153	0.2462396213
154	0.2458754244
155	0.2458534992
156	0.2456204599
157	0.2454657665
158	0.2453130118
159	0.2452816771
160	0.2450957503
161	0.2448621124
162	0.2445576436
163	0.2443754676
164	0.2442522751
165	0.2441185977
166	0.2439876802
167	0.2438690822
168	0.2437436524
169	0.2434303867
170	0.2432700518
171	0.2432194085
172	0.2429048204
173	0.2428177119
174	0.2427480052
175	0.2424533417
