iter	Passed	Remaining
0	190	190302
1	216	107903
2	235	78358
3	251	62598
4	265	52914
5	282	46808
6	297	42185
7	308	38219
8	319	35170
9	330	32702
10	340	30641
11	350	28887
12	361	27459
13	384	27114
14	402	26399
15	417	25705
16	432	24980
17	443	24187
18	458	23652
19	469	22989
20	479	22370
21	490	21798
22	499	21203
23	509	20705
24	518	20233
25	529	19826
26	541	19506
27	552	19195
28	566	18976
29	579	18723
30	600	18769
31	610	18479
32	622	18232
33	634	18013
34	649	17899
35	660	17696
36	673	17530
37	686	17387
38	697	17198
39	710	17040
40	722	16901
41	734	16751
42	745	16595
43	757	16459
44	768	16310
45	779	16156
46	796	16153
47	813	16136
48	828	16075
49	848	16126
50	861	16039
51	873	15925
52	885	15827
53	897	15719
54	907	15597
55	920	15518
56	931	15417
57	941	15288
58	975	15562
59	991	15535
60	1008	15522
61	1021	15453
62	1034	15385
63	1046	15299
64	1055	15184
65	1065	15085
66	1074	14969
67	1086	14889
68	1095	14783
69	1107	14709
70	1118	14628
71	1129	14553
72	1140	14484
73	1151	14407
74	1161	14329
75	1171	14247
76	1183	14184
77	1195	14130
78	1207	14072
79	1217	14006
80	1228	13938
81	1239	13879
82	1252	13836
83	1262	13764
84	1273	13705
85	1285	13660
86	1294	13588
87	1306	13535
88	1315	13463
89	1325	13407
90	1338	13366
91	1349	13316
92	1359	13260
93	1372	13227
94	1383	13182
95	1394	13129
96	1405	13080
97	1415	13027
98	1425	12969
99	1434	12908
100	1444	12854
101	1453	12797
102	1462	12739
103	1472	12685
104	1481	12631
105	1491	12576
106	1500	12521
107	1512	12490
108	1522	12445
109	1533	12409
110	1553	12444
111	1569	12440
112	1579	12400
113	1591	12366
114	1601	12326
115	1612	12289
116	1621	12240
117	1630	12190
118	1641	12149
119	1650	12104
120	1660	12062
121	1669	12014
122	1678	11969
123	1687	11921
124	1696	11876
125	1707	11841
126	1720	11825
127	1731	11796
128	1742	11766
129	1752	11725
130	1763	11699
131	1775	11677
132	1787	11650
133	1800	11636
134	1811	11604
135	1822	11575
136	1831	11535
137	1841	11504
138	1853	11478
139	1862	11443
140	1873	11412
141	1882	11372
142	1892	11340
143	1903	11314
144	1912	11277
145	1924	11255
146	1933	11219
147	1966	11320
148	1985	11342
149	2003	11350
150	2018	11346
151	2032	11340
152	2044	11316
153	2056	11296
154	2070	11287
155	2081	11262
156	2090	11227
157	2101	11199
158	2111	11169
159	2121	11139
160	2131	11109
161	2140	11071
162	2150	11044
163	2160	11012
164	2170	10982
165	2179	10949
166	2188	10913
167	2198	10888
168	2208	10858
169	2219	10837
170	2229	10810
171	2239	10780
172	2250	10759
173	2261	10736
174	2270	10704
175	2278	10669
176	2287	10635
177	2297	10608
178	2305	10575
179	2314	10542
180	2322	10509
181	2331	10478
182	2340	10449
183	2351	10426
184	2361	10405
185	2374	10393
186	2386	10376
187	2397	10356
188	2408	10334
189	2434	10377
190	2456	10406
191	2473	10410
192	2487	10402
193	2500	10389
194	2511	10367
195	2519	10334
196	2529	10308
197	2537	10276
198	2545	10244
199	2553	10213
200	2563	10188
201	2572	10161
202	2581	10134
203	2590	10106
204	2598	10077
205	2607	10051
206	2617	10027
207	2627	10003
208	2636	9979
209	2647	9957
210	2658	9939
211	2668	9917
212	2680	9905
213	2693	9892
214	2705	9877
215	2718	9868
216	2730	9854
217	2742	9836
218	2753	9818
219	2766	9807
220	2780	9800
221	2790	9779
222	2802	9763
223	2814	9751
224	2825	9730
225	2835	9710
226	2845	9691
227	2856	9671
228	2866	9651
229	2876	9630
230	2885	9607
231	2896	9586
232	2908	9574
233	2919	9555
234	2927	9529
235	2936	9506
236	2945	9481
237	2954	9459
238	2964	9437
239	2972	9413
240	2981	9391
241	2990	9368
242	3002	9352
243	3012	9334
244	3023	9318
245	3033	9298
246	3042	9275
247	3052	9255
248	3060	9231
